instancia,tiempo ejecucion,volumen total,distancia CG
0,0.337939977645874,31756176,49.60260640518246
1,0.788416862487793,31597202,28.0224281365954
2,0.39199399948120117,23790220,12.610476977638262
3,1.0060858726501465,32852380,23.326393152954232
4,0.3902108669281006,25672992,31.63303417958494
5,0.4674489498138428,30498080,15.559411720810504
6,1.5079107284545898,29920620,2.8368617514446877
7,0.5165660381317139,29600794,5.919243173079422
8,0.6051647663116455,28032064,41.76668503538678
9,0.7274270057678223,29816088,28.219783815319747
10,0.5010712146759033,32255394,25.550006733881208
11,0.7406659126281738,31688488,35.38756852424415
12,0.913870096206665,32618316,6.363886504840135
13,0.49869799613952637,32557236,35.49384337616624
14,0.4769151210784912,34857652,18.780122414636995
15,0.623668909072876,24431740,29.891722290904085
16,0.36206603050231934,29985002,14.54167143334255
17,0.293349027633667,26663720,15.48970160047487
18,0.6842377185821533,33653172,30.829009674445853
19,0.573214054107666,26608014,17.236513283205284
20,0.43187594413757324,39261272,12.173368973288403
21,0.7170917987823486,34646664,17.969406478323208
22,0.4153439998626709,31037206,15.096447509977004
23,0.4763212203979492,33880904,15.468465586011607
24,0.6319441795349121,29566056,27.231466122838274
25,0.8753080368041992,32237630,18.976105048337494
26,1.1160008907318115,29627688,35.494465340606176
27,1.2722692489624023,32359380,14.735707200742558
28,0.4844930171966553,31824288,27.82634864209741
29,0.5251638889312744,30921034,38.13767758738114
30,0.4143249988555908,24218056,22.49783594098463
31,0.6474912166595459,32832740,27.904081651910886
32,0.4856081008911133,31710840,16.985680414515
33,0.5080499649047852,30074480,29.110445152569145
34,0.5953080654144287,21594512,6.331539120771017
35,0.4635927677154541,25117772,15.430333404869044
36,0.7654600143432617,29118696,37.44121038593817
37,0.4282670021057129,33945532,40.69759039947686
38,1.3870179653167725,32190048,17.25610130714517
39,0.2797200679779053,29900364,36.452266726650095
40,0.4410121440887451,30324768,15.121829631883372
41,0.4692878723144531,27490380,10.95875079051876
42,0.4615151882171631,31757116,22.090257264442855
43,0.3560791015625,26517772,32.710752498170415
44,0.5902109146118164,24269668,10.209852966896824
45,0.4225161075592041,29391132,25.776501955143477
46,0.47863221168518066,26862680,30.812874707289097
47,0.41538500785827637,28181976,36.024248766842476
48,0.461810827255249,37931108,32.655010540647076
49,0.9766929149627686,30784988,16.272919612875658
50,0.8136522769927979,29692116,5.781168039970974
51,0.47663116455078125,28801656,32.55980433918622
52,0.3892838954925537,33059896,34.01137189910453
53,0.5507698059082031,22367752,37.72336803799532
54,0.8330442905426025,23537512,19.58680056035982
55,2.8395767211914062,31498552,11.406384957779471
56,0.38080406188964844,31341820,22.689493530461043
57,0.4012269973754883,35506016,26.711078856011685
58,0.9505069255828857,31606394,21.660651862809384
59,0.46592259407043457,29756386,13.29246591727866
60,0.6328272819519043,30797040,36.54007638687179
61,0.4604949951171875,33277974,11.310128972045348
62,0.4503757953643799,34791132,9.247492286596762
63,0.4117588996887207,25470072,21.351678714949216
64,0.8195059299468994,26502000,9.375258236700667
65,0.549314022064209,31202778,25.186916769348233
66,0.7042670249938965,32216244,19.363441833618886
67,0.5954568386077881,33844340,24.63513660928163
68,0.40769314765930176,22256178,24.06023876703415
69,0.4091460704803467,30172366,10.46262615117234
70,0.6921520233154297,32591206,24.922711104073993
71,0.5644910335540771,31280996,33.621268757540086
72,0.376600980758667,33181460,45.858682156124885
73,0.4144308567047119,35644456,44.280789867344616
74,0.5048446655273438,31590082,19.657712445030942
75,0.49257493019104004,33955624,10.046166542352763
76,0.5737860202789307,29799990,5.471742995011619
77,0.773216962814331,31088968,25.016170824281605
78,1.164646863937378,30384312,13.254461250475305
79,0.35675597190856934,27714412,20.590177005456958
80,0.43993616104125977,36578640,23.123929426344542
81,0.5024619102478027,24961094,19.974591108053428
82,0.652198076248169,33535852,1.6814487227770059
83,0.4184420108795166,28694668,15.459997700606936
84,0.4050149917602539,27514692,21.097713259085733
85,0.5707340240478516,34513924,16.688943606215098
86,0.3996407985687256,33092820,14.356388076492923
87,0.5253841876983643,26319900,16.032953323038974
88,0.4517180919647217,32896608,3.7917049510727376
89,0.34673571586608887,23762112,32.483494341827736
90,0.6232051849365234,29826346,29.854515044988556
91,0.385098934173584,27616450,32.730660870777676
92,0.38738584518432617,33714332,28.95256097366383
93,0.7038750648498535,36201120,24.380250900079062
94,0.6142449378967285,32389960,13.479302645106275
95,0.6676812171936035,33104540,7.446704482624079
96,0.526576042175293,31107712,3.7273673179342057
97,0.3869149684906006,30056738,8.817971792588509
98,0.8003787994384766,34496648,18.215838991517252
99,0.5719399452209473,31542832,33.62966416039107
