instancia,tiempo ejecucion,volumen total,distancia CG
0,0.3355550765991211,31756176,49.60260640518246
1,0.6294951438903809,31972228,11.720509306559508
2,0.40128493309020996,23790220,12.610476977638262
3,0.8983371257781982,32796976,12.2292494432813
4,0.4514758586883545,24533024,29.60027223199959
5,0.5143270492553711,29924256,11.802384472601096
6,1.4901797771453857,31018860,7.482800491977384
7,0.6003971099853516,33068234,19.9861755356356
8,0.5450339317321777,24414012,17.510055102852576
9,0.7362239360809326,30724036,22.335435980393576
10,0.5032820701599121,32255394,25.550006733881208
11,0.7481069564819336,31688488,35.38756852424415
12,0.9273498058319092,32618316,6.363886504840135
13,0.4986729621887207,32557236,35.49384337616624
14,0.480175256729126,34857652,18.780122414636995
15,0.6542997360229492,26448970,28.901688368426537
16,0.3752110004425049,29985002,14.54167143334255
17,0.30593013763427734,29501928,21.82879502662611
18,0.6917860507965088,31659370,18.26288134102269
19,0.4904189109802246,25153656,16.934571216449122
20,0.4409518241882324,39261272,12.173368973288403
21,0.7135419845581055,33099640,3.163149881419717
22,0.4770951271057129,31734800,29.80085734320145
23,0.47980594635009766,33880904,15.468465586011607
24,0.6496329307556152,30257592,3.722506219365713
25,0.5632691383361816,25798210,9.560738558189273
26,1.1265530586242676,29627688,35.494465340606176
27,1.3888630867004395,31702692,4.280033484902024
28,0.6277308464050293,30284360,11.799216683638436
29,0.5400960445404053,31079498,42.84436774881423
30,0.4033358097076416,27323096,14.684206051509324
31,0.53267502784729,29055312,47.8557922028579
32,0.4913148880004883,30073998,19.81044303531149
33,0.475147008895874,25828772,24.830643238588884
34,0.4897787570953369,22832956,38.547538330974085
35,0.5501019954681396,26248952,17.321922808232124
36,0.7794158458709717,29118696,37.44121038593817
37,0.42372679710388184,34782208,28.837311120086394
38,1.5674641132354736,30704364,2.54516345786266
39,0.28530001640319824,29900364,36.452266726650095
40,0.4039790630340576,31000520,5.323176519970664
41,0.5697569847106934,30705208,18.319474375850096
42,0.467785120010376,22744732,15.551697936030832
43,0.3472411632537842,24519412,37.08559600731667
44,0.5889320373535156,23851474,12.432708398426719
45,0.43427300453186035,29343388,18.13515181755071
46,0.6320221424102783,27566432,11.148164338001973
47,0.41998887062072754,28181976,36.024248766842476
48,0.45731091499328613,34969474,25.57833160087156
49,0.9038248062133789,31317368,4.51269739317388
50,0.799429178237915,27610302,5.573407625804541
51,0.41407203674316406,26507592,27.550848598387528
52,0.3915090560913086,33059896,34.01137189910453
53,0.5972321033477783,23948350,22.440756268061634
54,0.6400108337402344,20684306,52.582780926283235
55,2.8517119884490967,31498552,11.406384957779471
56,0.38694190979003906,27933124,7.428333143858859
57,0.4155452251434326,35877506,14.177088261104155
58,0.9662120342254639,31606394,21.660651862809384
59,0.4675610065460205,29756386,7.597281389955234
60,0.6378288269042969,34777856,28.58409901624952
61,0.49283885955810547,31901642,15.67359461219363
62,0.459517240524292,33899628,9.4755338277482
63,0.4198901653289795,27553312,14.652748780916136
64,0.7748000621795654,27697824,25.45271536868766
65,0.452686071395874,31671980,2.055895553407261
66,0.592689037322998,29788424,32.01700483578652
67,0.5828642845153809,35298944,10.385404514400564
68,0.4468519687652588,22935686,19.98995805194486
69,0.414783239364624,30172366,10.46262615117234
70,0.6833558082580566,34078744,12.295178192645464
71,0.5803487300872803,30666044,28.013054026186325
72,0.7238500118255615,34696192,27.615392020879643
73,0.3892967700958252,34405152,28.62909388628998
74,0.5031228065490723,28987552,7.7515802343688724
75,0.45783495903015137,30754252,28.507113720761577
76,0.575253963470459,29799990,5.471742995011619
77,0.6960408687591553,29294908,14.506283191929507
78,1.1721689701080322,30666936,10.729194716736842
79,0.34607720375061035,26123372,18.271277266302594
80,0.38858604431152344,31150032,14.975473193694782
81,0.5109832286834717,25803334,17.75788586772454
82,0.6592080593109131,33535852,1.6814487227770059
83,0.42247509956359863,28694668,15.459997700606936
84,0.4433021545410156,33365216,37.29848545594719
85,0.5757770538330078,34513924,16.688943606215098
86,0.4032859802246094,33092820,14.356388076492923
87,0.47400999069213867,30710568,32.61871856269376
88,0.45496296882629395,32896608,3.7917049510727376
89,0.33071088790893555,23762112,32.26936308784173
90,0.6406488418579102,30144698,24.317100100771672
91,0.3994572162628174,24241694,26.51379185700572
92,0.3955540657043457,33714332,28.95256097366383
93,0.6689341068267822,32916456,19.261462847218258
94,0.6169257164001465,32389960,13.479302645106275
95,0.6710309982299805,33104540,7.446704482624079
96,0.5338311195373535,30409752,13.748666286424905
97,0.3966250419616699,30056738,8.817971792588509
98,0.8093750476837158,34496648,18.215838991517252
99,0.5633599758148193,31631392,37.47181380178544
