,Instancia,Tiempo ejecucion,Volumen Ocupado,Diferencia centro,alpha,beta,gamma,delta,p
0,1,0.2972698211669922,18968475,65.75946136596059,1.0,1.0,0.1,0.2,0.01
1,1,0.29627299308776855,18968475,65.75946136596059,1.0,1.0,0.1,0.2,0.02
2,1,0.30071210861206055,18968475,65.75946136596059,1.0,1.0,0.1,0.2,0.03
3,1,0.29686570167541504,18968475,65.75946136596059,1.0,1.0,0.1,0.2,0.04
4,1,0.29611730575561523,18968475,65.75946136596059,1.0,1.0,0.1,0.2,0.05
5,1,0.28290414810180664,18896491,63.87952508433358,1.0,1.0,0.1,0.4,0.01
6,1,0.30045032501220703,18968475,65.75946136596059,1.0,1.0,0.1,0.4,0.02
7,1,0.29827094078063965,18968475,65.75946136596059,1.0,1.0,0.1,0.4,0.03
8,1,0.3363053798675537,19558159,39.063319810697536,1.0,1.0,0.1,0.4,0.04
9,1,0.33830785751342773,19970459,38.863310034159454,1.0,1.0,0.1,0.4,0.05
10,1,0.28625965118408203,18896491,63.87952508433358,1.0,1.0,0.1,0.6,0.01
11,1,0.28125572204589844,18896491,63.87952508433358,1.0,1.0,0.1,0.6,0.02
12,1,0.2942674160003662,18896491,63.87952508433358,1.0,1.0,0.1,0.6,0.03
13,1,0.33230161666870117,20795059,64.17829420226137,1.0,1.0,0.1,0.6,0.04
14,1,0.34231114387512207,20795059,64.17829420226137,1.0,1.0,0.1,0.6,0.05
15,1,0.32529568672180176,17442183,53.989836393898614,1.0,1.0,0.1,0.8,0.01
16,1,0.32829761505126953,17442183,53.989836393898614,1.0,1.0,0.1,0.8,0.02
17,1,0.31292128562927246,17244035,36.980693431613226,1.0,1.0,0.1,0.8,0.03
18,1,0.30533647537231445,17676935,60.072503205977334,1.0,1.0,0.1,0.8,0.04
19,1,0.304276704788208,17676935,60.072503205977334,1.0,1.0,0.1,0.8,0.05
20,1,0.3264801502227783,16760751,52.70028804580487,1.0,1.0,0.1,1.0,0.01
21,1,0.3242948055267334,16760751,52.70028804580487,1.0,1.0,0.1,1.0,0.02
22,1,0.32079529762268066,15523851,62.71006475177666,1.0,1.0,0.1,1.0,0.03
23,1,0.30698060989379883,17676935,60.072503205977334,1.0,1.0,0.1,1.0,0.04
24,1,0.3062784671783447,17676935,60.072503205977334,1.0,1.0,0.1,1.0,0.05
25,1,0.2992722988128662,18968475,65.75946136596059,1.0,1.0,0.2,0.2,0.01
26,1,0.2992744445800781,18968475,65.75946136596059,1.0,1.0,0.2,0.2,0.02
27,1,0.2987327575683594,18968475,65.75946136596059,1.0,1.0,0.2,0.2,0.03
28,1,0.2974734306335449,18968475,65.75946136596059,1.0,1.0,0.2,0.2,0.04
29,1,0.3012731075286865,18968475,65.75946136596059,1.0,1.0,0.2,0.2,0.05
30,1,0.29626941680908203,18968475,65.75946136596059,1.0,1.0,0.2,0.4,0.01
