,Instancia,Tiempo ejecucion,Volumen Ocupado,Diferencia centro,alpha,beta,gamma,delta,p
0,0,0.2820014953613281,18912032,47.518903276755495,1,0,0,1,0
1,1,0.3292360305786133,21096513,6.969553910276284,1,0,0,1,0
2,2,0.2917654514312744,16558688,22.283731016624227,1,0,0,1,0
3,3,0.3220705986022949,23117028,12.65418000393808,1,0,0,1,0
4,4,0.3262917995452881,23200512,6.913936493510341,1,0,0,1,0
5,5,0.2702007293701172,22507950,3.0294840683362976,1,0,0,1,0
6,6,0.6397771835327148,23926830,11.42310281264242,1,0,0,1,0
7,7,0.3136906623840332,21825582,11.032296310144268,1,0,0,1,0
8,8,0.43812060356140137,22597081,11.035363466657921,1,0,0,1,0
9,9,0.36723947525024414,19444428,22.654290549123857,1,0,0,1,0
10,10,0.34800267219543457,20517320,25.14488655299734,1,0,0,1,0
11,11,0.3115665912628174,20312832,5.526917627106824,1,0,0,1,0
12,12,0.35213232040405273,23753416,5.715624151810237,1,0,0,1,0
13,13,0.2412106990814209,18389582,31.508589852855284,1,0,0,1,0
14,14,0.20491814613342285,23632300,15.391089799244067,1,0,0,1,0
15,15,0.39276814460754395,21306093,1.1148312893553114,1,0,0,1,0
16,16,0.23636770248413086,19938783,7.267409771358634,1,0,0,1,0
17,17,0.16417956352233887,19376343,18.190686254348005,1,0,0,1,0
18,18,0.3951876163482666,24490212,8.782315823770709,1,0,0,1,0
19,19,0.23921918869018555,22676094,12.711112365541283,1,0,0,1,0
20,20,0.27098584175109863,18076048,46.37216421963847,1,0,0,1,0
21,21,0.26174426078796387,22290377,5.262744788654751,1,0,0,1,0
22,22,0.29230427742004395,22043836,10.643750265533097,1,0,0,1,0
23,23,0.2906796932220459,20554117,19.432713066286947,1,0,0,1,0
24,24,0.34547853469848633,21420702,1.6308211364643528,1,0,0,1,0
25,25,0.3324306011199951,21596120,8.54448855864192,1,0,0,1,0
26,26,0.4115612506866455,21452252,10.83019196607568,1,0,0,1,0
27,27,0.36952829360961914,22108958,0.9985900192583753,1,0,0,1,0
28,28,0.35086488723754883,21939344,13.453815313020039,1,0,0,1,0
29,29,0.36155056953430176,22125572,9.058191056014616,1,0,0,1,0
30,30,0.30164432525634766,21294826,15.341824502701371,1,0,0,1,0
31,31,0.2792668342590332,15889412,16.91862366357759,1,0,0,1,0
32,32,0.39631104469299316,21595581,6.5532438921373615,1,0,0,1,0
33,33,0.31851959228515625,20483794,11.970845141272564,1,0,0,1,0
